小说名称,文库分类,小说作者,文章状态,最后更新,全文长度,小说封面
恶魔高校DxD(High School DxD),富士见文库,石踏一荣,已完成,2020-11-10,3885580.0,http://img.wenku8.com/image/1/1034/1034s.jpg
果然我的青春恋爱喜剧搞错了(我的青春恋爱物语果然有问题),小学馆,渡航,已完成,2020-10-27,2687614.0,http://img.wenku8.com/image/1/1213/1213s.jpg
欢迎来到实力至上主义的教室,MF文库J,衣笠彰梧,连载中,2020-11-18,2233431.0,http://img.wenku8.com/image/1/1973/1973s.jpg
在地下城寻求邂逅是否搞错了什么(期待在地下城邂逅有错吗),GA文库,大森藤野,连载中,2020-11-12,4573658.0,http://img.wenku8.com/image/1/1508/1508s.jpg
关于我转生变成史莱姆这档事(关于我转生成为史莱姆的那件事),其他文库,伏濑,连载中,2020-07-13,3258232.0,http://img.wenku8.com/image/1/1787/1787s.jpg
精灵使的剑舞,MF文库J,志瑞佑,已完成,2019-10-20,2052371.0,http://img.wenku8.com/image/1/1011/1011s.jpg
问题儿童都来自异世界?,角川文库,龙之湖太郎,已完成,2015-05-26,1289569.0,http://img.wenku8.com/image/1/1192/1192s.jpg
游戏人生No game No life,MF文库J,榎宫佑,连载中,2018-09-10,1408207.0,http://img.wenku8.com/image/1/1269/1269s.jpg
Campione!(弑神者!),集英社,丈月城,已完成,2019-09-15,2786515.0,http://img.wenku8.com/image/0/433/433s.jpg
爆肝工程师的异世界狂想曲(异世界狂想曲),富士见文库,爱七ひろ,连载中,2020-11-20,2780866.0,http://img.wenku8.com/image/1/1715/1715s.jpg
我女友与青梅竹马的惨烈修罗场,GA文库,裕时悠示,连载中,2020-11-27,1229489.0,http://img.wenku8.com/image/1/1073/1073s.jpg
加速世界,电击文库,川原砾,连载中,2020-09-29,3074162.0,http://img.wenku8.com/image/0/381/381s.jpg
我的妹妹哪有这么可爱(我的妹妹不可能那么可爱),电击文库,伏见司,已完成,2020-10-09,1758958.0,http://img.wenku8.com/image/0/47/47s.jpg
魔弹之王与战姬,MF文库J,川口士,已完成,2018-02-24,2312978.0,http://img.wenku8.com/image/1/1024/1024s.jpg
星刻龙骑士,MF文库J,瑞智士记,已完成,2016-07-07,1937409.0,http://img.wenku8.com/image/1/1005/1005s.jpg
我的朋友很少,MF文库J,平坂读,已完成,2015-09-29,1165548.0,http://img.wenku8.com/image/0/467/467s.jpg
三坪房间的侵略者！？,HJ文库,健速,连载中,,,http://img.wenku8.com/image/0/374/374s.jpg
不起眼女主角培育法(路人女主的养成方法),富士见文库,丸户史明,已完成,2020-02-17,1631741.0,http://img.wenku8.com/image/1/1359/1359s.jpg
IS(Infinite Stratos),其他文库,弓弦逸鹤,连载中,2016-06-13,900327.0,http://img.wenku8.com/image/0/446/446s.jpg
要听爸爸的话!,集英社,松智洋,已完成,2017-12-25,2331318.0,http://img.wenku8.com/image/0/884/884s.jpg
织田信奈的野望,富士见文库,春日御影,连载中,2020-08-08,3179151.0,http://img.wenku8.com/image/0/692/692s.jpg
新妹魔王的契约者,角川文库,上栖缀人,已完成,2018-11-15,1266824.0,http://img.wenku8.com/image/1/1309/1309s.jpg
笨蛋，测验，召唤兽,Fami通文库,井上坚二,已完成,2016-01-25,1762351.0,http://img.wenku8.com/image/0/4/4s.jpg
